trial,learning_rate,iterations,train_mse,test_mse
1,0.01,500,0.000895951649389,0.0014397379758457024
2,0.01,1000,0.000895951649389,0.0014397379758457024
3,0.05,1000,0.04133707337168333,0.037441633586558186
4,0.05,2000,0.04133707337168333,0.037441633586558186
