trial,learning_rate,iterations,train_mse,test_mse
1,0.01,500,0.0018152633301878568,0.002617648755746808
2,0.01,1000,0.0014211017083618292,0.002032912036759489
3,0.05,1000,0.0009011565282382829,0.0013312778655734628
4,0.05,2000,0.0008029696989323842,0.0012169416432742544
